Knife_ID,True_Class,True_Ra,Total_Test_Appearances,Correct_Predictions,Accuracy_Rate
knife_test_1004,1,0.13,1,0,0.0
knife_test_1009,1,0.13,1,1,1.0
knife_test_1013,0,0.11,2,2,1.0
knife_test_1015,0,0.11,1,0,0.0
knife_test_1018,0,0.11,1,1,1.0
knife_test_102,1,0.2,2,0,0.0
knife_test_1023,0,0.11,3,0,0.0
knife_test_1026,0,0.11,1,0,0.0
knife_test_1036,1,0.13,2,2,1.0
knife_test_1037,1,0.13,3,3,1.0
knife_test_1040,1,0.14,2,2,1.0
knife_test_1041,1,0.14,2,2,1.0
knife_test_1043,1,0.14,2,2,1.0
knife_test_1048,1,0.14,3,3,1.0
knife_test_1050,1,0.16,1,0,0.0
knife_test_1054,1,0.16,1,1,1.0
knife_test_1056,1,0.16,1,1,1.0
knife_test_1058,1,0.16,2,2,1.0
knife_test_106,1,0.2,3,2,0.6666666666666666
knife_test_1060,1,0.15,2,0,0.0
knife_test_1061,1,0.15,1,0,0.0
knife_test_1063,1,0.15,2,0,0.0
knife_test_1066,1,0.15,2,2,1.0
knife_test_1068,1,0.15,1,1,1.0
knife_test_1072,1,0.17,1,0,0.0
knife_test_1073,1,0.17,2,0,0.0
knife_test_1076,1,0.17,1,0,0.0
knife_test_1084,1,0.18,3,3,1.0
knife_test_1087,1,0.18,1,1,1.0
knife_test_1088,1,0.18,3,2,0.6666666666666666
knife_test_1092,1,0.15,1,1,1.0
knife_test_1096,1,0.15,2,2,1.0
knife_test_1098,1,0.15,3,3,1.0
knife_test_1100,1,0.15,1,0,0.0
knife_test_1103,1,0.15,2,1,0.5
knife_test_1105,1,0.15,2,2,1.0
knife_test_1106,1,0.15,1,1,1.0
knife_test_1109,1,0.15,2,2,1.0
knife_test_1112,1,0.15,2,0,0.0
knife_test_1118,1,0.15,3,2,0.6666666666666666
knife_test_1119,1,0.15,2,1,0.5
knife_test_1131,1,0.15,3,3,1.0
knife_test_1139,1,0.15,2,1,0.5
knife_test_1143,1,0.14,1,1,1.0
knife_test_1144,1,0.14,1,1,1.0
knife_test_1149,1,0.14,2,2,1.0
knife_test_1153,1,0.15,3,3,1.0
knife_test_1154,1,0.15,2,2,1.0
knife_test_1157,1,0.15,2,2,1.0
knife_test_1158,1,0.15,2,2,1.0
knife_test_1159,1,0.15,3,3,1.0
knife_test_1163,1,0.13,2,1,0.5
knife_test_1164,1,0.13,1,0,0.0
knife_test_1167,1,0.13,3,0,0.0
knife_test_1170,0,0.11,2,2,1.0
knife_test_1174,0,0.11,3,2,0.6666666666666666
knife_test_1176,0,0.11,1,1,1.0
knife_test_1177,0,0.11,3,3,1.0
knife_test_1180,0,0.12,2,2,1.0
knife_test_1182,0,0.12,1,1,1.0
knife_test_1184,0,0.12,1,1,1.0
knife_test_1185,0,0.12,3,3,1.0
knife_test_1187,0,0.12,3,3,1.0
knife_test_1188,0,0.12,3,3,1.0
knife_test_1189,0,0.12,2,2,1.0
