Knife_ID,Linie_Angle,Actual_Class,CART_Prediction,C45_Prediction,CART_Correct,C45_Correct
Koch-A0-T0-02_cropped_Messpunkt,3,1,1,1,True,True
Koch-A0-T0-02_cropped_Messpunkt,7,1,1,1,True,True
Koch-A0-T0-02_cropped_Messpunkt,9,1,1,1,True,True
Koch-A0-T0-04_cropped_Messpunkt,0,1,1,1,True,True
Koch-A0-T0-04_cropped_Messpunkt,2,1,1,1,True,True
Koch-A0-T0-04_cropped_Messpunkt,3,1,1,1,True,True
Koch-A0-T0-04_cropped_Messpunkt,4,1,1,1,True,True
Koch-A0-T0-04_cropped_Messpunkt,5,1,1,1,True,True
Koch-A0-T0-04_cropped_Messpunkt,6,1,1,1,True,True
Koch-A0-T0-04_cropped_Messpunkt,8,1,1,1,True,True
Koch-A0-T0-04_cropped_Messpunkt,9,1,1,1,True,True
Koch-A10-T10-12_cropped_Messpunkt,3,1,1,1,True,True
Koch-A10-T10-12_cropped_Messpunkt,4,1,1,1,True,True
Koch-A10-T10-12_cropped_Messpunkt,7,1,1,1,True,True
Koch-A10-T10-12_cropped_Messpunkt,9,1,1,1,True,True
Koch-A11-T11-01_cropped_Messpunkt,4,1,1,1,True,True
Koch-A11-T11-01_cropped_Messpunkt,5,1,1,1,True,True
Koch-A11-T11-01_cropped_Messpunkt,7,1,1,1,True,True
Koch-A11-T11-01_cropped_Messpunkt,8,1,1,1,True,True
Koch-A11-T11-01_cropped_Messpunkt,9,1,1,1,True,True
Koch-A13-T13-02_cropped_Messpunkt,1,2,2,2,True,True
Koch-A13-T13-02_cropped_Messpunkt,2,2,2,2,True,True
Koch-A13-T13-02_cropped_Messpunkt,5,2,2,2,True,True
Koch-A13-T13-02_cropped_Messpunkt,6,2,2,2,True,True
Koch-A13-T13-02_cropped_Messpunkt,7,2,2,2,True,True
Koch-A13-T13-02_cropped_Messpunkt,8,2,2,2,True,True
Koch-A13-T13-08_cropped_Messpunkt,2,2,2,2,True,True
Koch-A13-T13-08_cropped_Messpunkt,3,2,2,2,True,True
Koch-A13-T13-08_cropped_Messpunkt,4,2,2,2,True,True
Koch-A13-T13-08_cropped_Messpunkt,5,2,2,2,True,True
Koch-A13-T13-08_cropped_Messpunkt,6,2,2,2,True,True
Koch-A13-T13-08_cropped_Messpunkt,7,2,2,2,True,True
Koch-A13-T13-12_cropped_Messpunkt,3,1,1,1,True,True
Koch-A14-T14-18_cropped_Messpunkt,5,0,0,0,True,True
Koch-A14-T14-18_cropped_Messpunkt,6,0,0,0,True,True
Koch-A14-T14-18_cropped_Messpunkt,7,0,0,0,True,True
Koch-A14-T14-18_cropped_Messpunkt,8,0,0,0,True,True
Koch-A14-T14-18_cropped_Messpunkt,9,0,0,0,True,True
Koch-A15-T15-11_cropped_Messpunkt,3,1,1,1,True,True
Koch-A15-T15-11_cropped_Messpunkt,5,1,1,1,True,True
Koch-A15-T15-11_cropped_Messpunkt,6,1,1,1,True,True
Koch-A15-T15-11_cropped_Messpunkt,7,1,1,1,True,True
Koch-A15-T15-11_cropped_Messpunkt,8,1,1,1,True,True
Koch-A15-T15-11_cropped_Messpunkt,9,1,1,1,True,True
Koch-A17-T17-02_cropped_Messpunkt,0,0,0,0,True,True
Koch-A17-T17-02_cropped_Messpunkt,1,0,0,0,True,True
Koch-A17-T17-02_cropped_Messpunkt,2,0,0,0,True,True
Koch-A17-T17-02_cropped_Messpunkt,3,0,0,0,True,True
Koch-A17-T17-02_cropped_Messpunkt,6,0,0,0,True,True
Koch-A17-T17-04_cropped_Messpunkt,0,0,0,0,True,True
