Knife_ID,Linie_Angle,Actual_Class,CART_Prediction,C45_Prediction,CART_Correct,C45_Correct
Koch-A0-T0-02_cropped_Messpunkt,0,1,0,0,False,False
Koch-A0-T0-02_cropped_Messpunkt,6,1,0,0,False,False
Koch-A0-T0-02_cropped_Messpunkt,8,1,2,0,False,False
Koch-A10-T10-08_cropped_Messpunkt,1,1,2,2,False,False
Koch-A10-T10-08_cropped_Messpunkt,2,1,2,2,False,False
Koch-A10-T10-08_cropped_Messpunkt,3,1,2,2,False,False
Koch-A10-T10-08_cropped_Messpunkt,4,1,2,2,False,False
Koch-A10-T10-08_cropped_Messpunkt,8,1,2,2,False,False
Koch-A10-T10-17_cropped_Messpunkt,3,1,2,2,False,False
Koch-A13-T13-02_cropped_Messpunkt,3,2,1,1,False,False
Koch-A13-T13-08_cropped_Messpunkt,0,2,0,1,False,False
Koch-A13-T13-08_cropped_Messpunkt,9,2,1,1,False,False
Koch-A13-T13-12_cropped_Messpunkt,1,1,2,2,False,False
Koch-A13-T13-12_cropped_Messpunkt,8,1,2,2,False,False
Koch-A13-T13-12_cropped_Messpunkt,9,1,2,2,False,False
Koch-A14-T14-18_cropped_Messpunkt,0,0,2,1,False,False
Koch-A14-T14-18_cropped_Messpunkt,1,0,1,1,False,False
Koch-A14-T14-18_cropped_Messpunkt,2,0,1,1,False,False
Koch-A14-T14-18_cropped_Messpunkt,3,0,1,1,False,False
Koch-A14-T14-18_cropped_Messpunkt,8,0,1,1,False,False
Koch-A17-T17-02_cropped_Messpunkt,5,0,1,1,False,False
Koch-A17-T17-02_cropped_Messpunkt,7,0,1,1,False,False
Koch-A17-T17-02_cropped_Messpunkt,8,0,1,1,False,False
Koch-A17-T17-04_cropped_Messpunkt,6,0,1,1,False,False
Koch-A17-T17-04_cropped_Messpunkt,7,0,1,1,False,False
Koch-A17-T17-04_cropped_Messpunkt,8,0,1,1,False,False
Koch-A17-T17-04_cropped_Messpunkt,9,0,1,1,False,False
Koch-A17-T17-07_cropped_Messpunkt,1,0,1,1,False,False
Koch-A17-T17-07_cropped_Messpunkt,3,0,1,1,False,False
Koch-A17-T17-14_cropped_Messpunkt,3,0,1,1,False,False
Koch-A17-T17-14_cropped_Messpunkt,4,0,1,2,False,False
Koch-A17-T17-14_cropped_Messpunkt,5,0,2,2,False,False
Koch-A17-T17-14_cropped_Messpunkt,6,0,2,2,False,False
Koch-A17-T17-14_cropped_Messpunkt,7,0,1,2,False,False
Koch-A17-T17-14_cropped_Messpunkt,8,0,2,2,False,False
Koch-A17-T17-14_cropped_Messpunkt,9,0,2,1,False,False
Koch-A18-T18-08_cropped_Messpunkt,0,0,1,1,False,False
Koch-A20-T20-16_cropped_Messpunkt,0,0,2,2,False,False
Koch-A20-T20-16_cropped_Messpunkt,1,0,1,2,False,False
Koch-A20-T20-16_cropped_Messpunkt,2,0,2,2,False,False
Koch-A20-T20-16_cropped_Messpunkt,3,0,2,2,False,False
Koch-A20-T20-16_cropped_Messpunkt,4,0,1,2,False,False
Koch-A20-T20-16_cropped_Messpunkt,5,0,2,2,False,False
Koch-A20-T20-16_cropped_Messpunkt,7,0,2,2,False,False
Koch-A20-T20-16_cropped_Messpunkt,8,0,2,2,False,False
Koch-A20-T20-16_cropped_Messpunkt,9,0,1,1,False,False
Koch-A21-T21-05_cropped_Messpunkt,2,0,1,1,False,False
Koch-A21-T21-05_cropped_Messpunkt,8,0,1,1,False,False
Koch-A21-T21-05_cropped_Messpunkt,9,0,1,1,False,False
Koch-A21-T21-12_cropped_Messpunkt,1,0,1,1,False,False
Koch-A21-T21-12_cropped_Messpunkt,6,0,1,1,False,False
Koch-A22-T22-13_cropped_Messpunkt,0,1,0,0,False,False
Koch-A22-T22-13_cropped_Messpunkt,1,1,0,0,False,False
Koch-A22-T22-13_cropped_Messpunkt,2,1,0,0,False,False
Koch-A22-T22-16_cropped_Messpunkt,0,1,0,0,False,False
Koch-A22-T22-16_cropped_Messpunkt,3,1,0,0,False,False
Koch-A22-T22-17_cropped_Messpunkt,5,0,1,1,False,False
Koch-A22-T22-17_cropped_Messpunkt,6,0,1,1,False,False
Koch-A22-T22-17_cropped_Messpunkt,8,0,1,1,False,False
Koch-A22-T22-20_cropped_Messpunkt,5,0,1,1,False,False
Koch-A22-T22-20_cropped_Messpunkt,6,0,1,1,False,False
Koch-A23-T23-05_cropped_Messpunkt,0,0,1,1,False,False
Koch-A23-T23-07_cropped_Messpunkt,3,0,1,1,False,False
Koch-A23-T23-07_cropped_Messpunkt,4,0,1,1,False,False
Koch-A23-T23-19_cropped_Messpunkt,3,1,0,0,False,False
Koch-A23-T23-19_cropped_Messpunkt,7,1,0,0,False,False
Koch-A23-T23-19_cropped_Messpunkt,9,1,0,0,False,False
Koch-A24-T24-04_cropped_Messpunkt,2,1,0,0,False,False
Koch-A24-T24-04_cropped_Messpunkt,3,1,0,0,False,False
Koch-A24-T24-04_cropped_Messpunkt,6,1,0,0,False,False
Koch-A24-T24-06_cropped_Messpunkt,4,0,1,1,False,False
Koch-A24-T24-06_cropped_Messpunkt,8,0,1,1,False,False
Koch-A24-T24-17_cropped_Messpunkt,1,0,1,1,False,False
Koch-A26-T26-09_cropped_Messpunkt,6,1,0,0,False,False
Koch-A26-T26-09_cropped_Messpunkt,7,1,2,0,False,False
Koch-A26-T26-09_cropped_Messpunkt,8,1,2,0,False,False
Koch-A26-T26-09_cropped_Messpunkt,9,1,0,0,False,False
Koch-A28-T28-03_cropped_Messpunkt,0,1,0,0,False,False
Koch-A28-T28-03_cropped_Messpunkt,1,1,0,0,False,False
Koch-A28-T28-17_cropped_Messpunkt,1,1,0,0,False,False
Koch-A29-T29-18_cropped_Messpunkt,1,1,2,2,False,False
Koch-A29-T29-18_cropped_Messpunkt,8,1,2,2,False,False
Koch-A3-T3-16_cropped_Messpunkt,3,0,1,1,False,False
Koch-A3-T3-17_cropped_Messpunkt,7,0,1,1,False,False
Koch-A3-T3-17_cropped_Messpunkt,8,0,1,1,False,False
Koch-A3-T3-17_cropped_Messpunkt,9,0,1,1,False,False
Koch-A6-T6-12_cropped_Messpunkt,0,1,0,0,False,False
Koch-A6-T6-12_cropped_Messpunkt,1,1,0,0,False,False
Koch-A6-T6-12_cropped_Messpunkt,2,1,0,0,False,False
Koch-A6-T6-12_cropped_Messpunkt,5,1,0,0,False,False
Koch-A7-T7-04_cropped_Messpunkt,2,0,1,1,False,False
Koch-A7-T7-04_cropped_Messpunkt,4,0,1,1,False,False
Koch-A7-T7-04_cropped_Messpunkt,6,0,1,1,False,False
Koch-A7-T7-04_cropped_Messpunkt,7,0,1,1,False,False
Koch-A7-T7-04_cropped_Messpunkt,8,0,1,1,False,False
Koch-A7-T7-13_cropped_Messpunkt,0,1,0,0,False,False
Koch-A7-T7-13_cropped_Messpunkt,1,1,0,0,False,False
Koch-A7-T7-13_cropped_Messpunkt,2,1,0,0,False,False
Koch-A7-T7-13_cropped_Messpunkt,3,1,0,0,False,False
Koch-A7-T7-13_cropped_Messpunkt,5,1,0,0,False,False
Koch-A7-T7-13_cropped_Messpunkt,6,1,0,0,False,False
Koch-A7-T7-13_cropped_Messpunkt,9,1,0,0,False,False
Koch-A8-T8-03_cropped_Messpunkt,0,1,0,0,False,False
Koch-A8-T8-03_cropped_Messpunkt,2,1,0,0,False,False
Koch-A8-T8-03_cropped_Messpunkt,5,1,0,0,False,False
Koch-A8-T8-03_cropped_Messpunkt,7,1,0,0,False,False
Koch-A8-T8-11_cropped_Messpunkt,5,1,0,0,False,False
Koch-A8-T8-11_cropped_Messpunkt,6,1,2,0,False,False
Koch-A8-T8-11_cropped_Messpunkt,9,1,0,0,False,False
Koch-A8-T8-17_cropped_Messpunkt,4,0,1,1,False,False
Koch-A8-T8-17_cropped_Messpunkt,7,0,1,1,False,False
Koch-A8-T8-17_cropped_Messpunkt,8,0,1,1,False,False
Koch-A9-T9-11_cropped_Messpunkt,4,1,2,2,False,False
Koch-A9-T9-11_cropped_Messpunkt,6,1,2,2,False,False
Koch-F2-03_cropped_Messpunkt,0,0,1,1,False,False
Koch-F2-03_cropped_Messpunkt,5,0,1,2,False,False
Koch-F2-03_cropped_Messpunkt,9,0,1,2,False,False
Koch-F2-17_cropped_Messpunkt,2,0,1,1,False,False
Koch-F2-17_cropped_Messpunkt,4,0,1,1,False,False
Koch-F2-17_cropped_Messpunkt,5,0,1,1,False,False
Koch-F2-17_cropped_Messpunkt,8,0,1,1,False,False
Koch-VVS10-04_cropped_Messpunkt,1,0,1,1,False,False
Koch-VVS10-11_cropped_Messpunkt,6,1,0,0,False,False
Koch-VVS10-17_cropped_Messpunkt,3,1,2,2,False,False
Koch-VVS10-19_cropped_Messpunkt,7,1,2,2,False,False
Koch-VVS13-07_cropped_Messpunkt,1,1,2,2,False,False
Koch-VVS13-08_cropped_Messpunkt,0,1,2,0,False,False
Koch-VVS16-03_cropped_Messpunkt,2,0,1,1,False,False
Koch-VVS16-03_cropped_Messpunkt,3,0,1,1,False,False
Koch-VVS16-06_cropped_Messpunkt,8,1,0,0,False,False
Koch-VVS16-07_cropped_Messpunkt,8,0,1,1,False,False
Koch-VVS16-07_cropped_Messpunkt,9,0,1,1,False,False
Koch-VVS16-11_cropped_Messpunkt,7,1,0,0,False,False
Koch-VVS16-18_cropped_Messpunkt,0,1,0,0,False,False
Koch-VVS16-19_cropped_Messpunkt,4,1,0,0,False,False
Koch-VVS16-20_cropped_Messpunkt,5,2,1,1,False,False
Koch-VVS19-04_cropped_Messpunkt,3,1,0,0,False,False
Koch-VVS19-06_cropped_Messpunkt,5,1,0,0,False,False
Koch-VVS19-11_cropped_Messpunkt,3,0,1,1,False,False
Koch-VVS19-12_cropped_Messpunkt,1,0,1,1,False,False
Koch-VVS19-13_cropped_Messpunkt,1,1,0,0,False,False
Koch-VVS19-13_cropped_Messpunkt,3,1,0,0,False,False
Koch-VVS19-15_cropped_Messpunkt,4,0,1,1,False,False
Koch-VVS19-18_cropped_Messpunkt,4,1,0,0,False,False
Koch-VVS22-09_cropped_Messpunkt,6,0,1,1,False,False
Koch-VVS22-11_cropped_Messpunkt,1,1,0,0,False,False
Koch-VVS22-14_cropped_Messpunkt,0,0,1,1,False,False
Koch-VVS22-14_cropped_Messpunkt,2,0,1,1,False,False
Koch-VVS23-09_cropped_Messpunkt,9,0,1,1,False,False
Koch-VVS23-11_cropped_Messpunkt,2,0,1,1,False,False
Koch-VVS23-11_cropped_Messpunkt,3,0,1,1,False,False
Koch-VVS24-01_cropped_Messpunkt,2,1,0,0,False,False
Koch-VVS4-04_cropped_Messpunkt,1,0,1,1,False,False
Koch-VVS4-20_cropped_Messpunkt,3,1,2,0,False,False
Koch-VVS7-05_cropped_Messpunkt,1,1,0,0,False,False
Koch-VVS7-05_cropped_Messpunkt,3,1,0,0,False,False
Koch-VVS7-11_cropped_Messpunkt,0,1,0,0,False,False
Koch-VVS7-13_cropped_Messpunkt,5,0,1,1,False,False
Koch-VVS7-18_cropped_Messpunkt,4,1,0,0,False,False
Koch-VVS7-20_cropped_Messpunkt,2,1,0,0,False,False
