Knife_ID,Actual_Class,CART_Matrix_Status,C45_Matrix_Status,Imitation_Status
Knife_659,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_619,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_707,1,True Positive (Correct Class 1),True Positive (Correct Class 1),Perfect Mimic
Knife_382,1,True Positive (Correct Class 1),True Positive (Correct Class 1),Perfect Mimic
Knife_383,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_310,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_519,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_663,1,True Positive (Correct Class 1),True Positive (Correct Class 1),Perfect Mimic
Knife_213,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_140,1,True Positive (Correct Class 1),True Positive (Correct Class 1),Perfect Mimic
Knife_412,1,True Positive (Correct Class 1),True Positive (Correct Class 1),Perfect Mimic
Knife_328,1,True Positive (Correct Class 1),True Positive (Correct Class 1),Perfect Mimic
Knife_496,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_670,1,True Positive (Correct Class 1),True Positive (Correct Class 1),Perfect Mimic
Knife_368,1,True Positive (Correct Class 1),True Positive (Correct Class 1),Perfect Mimic
Knife_513,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_87,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_97,1,True Positive (Correct Class 1),True Positive (Correct Class 1),Perfect Mimic
Knife_301,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_64,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_848,1,True Positive (Correct Class 1),True Positive (Correct Class 1),Perfect Mimic
Knife_629,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_577,1,True Positive (Correct Class 1),True Positive (Correct Class 1),Perfect Mimic
Knife_175,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_482,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_138,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_228,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_631,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_596,1,True Positive (Correct Class 1),True Positive (Correct Class 1),Perfect Mimic
Knife_73,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_78,1,True Positive (Correct Class 1),True Positive (Correct Class 1),Perfect Mimic
Knife_738,1,True Positive (Correct Class 1),True Positive (Correct Class 1),Perfect Mimic
Knife_760,1,True Positive (Correct Class 1),True Positive (Correct Class 1),Perfect Mimic
Knife_434,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_343,1,True Positive (Correct Class 1),True Positive (Correct Class 1),Perfect Mimic
Knife_55,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_421,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_362,1,True Positive (Correct Class 1),True Positive (Correct Class 1),Perfect Mimic
Knife_85,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_248,1,True Positive (Correct Class 1),True Positive (Correct Class 1),Perfect Mimic
Knife_381,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_82,1,True Positive (Correct Class 1),True Positive (Correct Class 1),Perfect Mimic
Knife_339,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_546,1,True Positive (Correct Class 1),True Positive (Correct Class 1),Perfect Mimic
Knife_683,1,True Positive (Correct Class 1),True Positive (Correct Class 1),Perfect Mimic
Knife_835,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_211,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_266,1,True Positive (Correct Class 1),True Positive (Correct Class 1),Perfect Mimic
Knife_705,1,True Positive (Correct Class 1),True Positive (Correct Class 1),Perfect Mimic
Knife_630,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_544,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_765,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_581,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_778,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_199,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_638,1,True Positive (Correct Class 1),True Positive (Correct Class 1),Perfect Mimic
Knife_295,1,True Positive (Correct Class 1),True Positive (Correct Class 1),Perfect Mimic
Knife_523,1,True Positive (Correct Class 1),True Positive (Correct Class 1),Perfect Mimic
Knife_587,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_418,1,True Positive (Correct Class 1),True Positive (Correct Class 1),Perfect Mimic
Knife_61,1,True Positive (Correct Class 1),True Positive (Correct Class 1),Perfect Mimic
Knife_808,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_410,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_159,1,True Positive (Correct Class 1),True Positive (Correct Class 1),Perfect Mimic
Knife_426,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_132,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_71,1,True Positive (Correct Class 1),True Positive (Correct Class 1),Perfect Mimic
Knife_165,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
