Knife_ID,Actual_Class,CART_Matrix_Status,C45_Matrix_Status,Imitation_Status
Knife_619,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_443,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_707,1,True Positive (Correct Class 1),True Positive (Correct Class 1),Perfect Mimic
Knife_382,1,True Positive (Correct Class 1),True Positive (Correct Class 1),Perfect Mimic
Knife_437,1,True Positive (Correct Class 1),True Positive (Correct Class 1),Perfect Mimic
Knife_383,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_267,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_767,1,True Positive (Correct Class 1),True Positive (Correct Class 1),Perfect Mimic
Knife_219,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_717,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_212,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_785,1,True Positive (Correct Class 1),True Positive (Correct Class 1),Perfect Mimic
Knife_310,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_519,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_486,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_708,1,True Positive (Correct Class 1),True Positive (Correct Class 1),Perfect Mimic
Knife_488,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_213,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_260,1,True Positive (Correct Class 1),True Positive (Correct Class 1),Perfect Mimic
Knife_31,1,True Positive (Correct Class 1),True Positive (Correct Class 1),Perfect Mimic
Knife_588,1,True Positive (Correct Class 1),True Positive (Correct Class 1),Perfect Mimic
Knife_140,1,True Positive (Correct Class 1),True Positive (Correct Class 1),Perfect Mimic
Knife_412,1,True Positive (Correct Class 1),True Positive (Correct Class 1),Perfect Mimic
Knife_520,1,True Positive (Correct Class 1),True Positive (Correct Class 1),Perfect Mimic
Knife_496,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_24,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_236,1,True Positive (Correct Class 1),True Positive (Correct Class 1),Perfect Mimic
Knife_787,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_368,1,True Positive (Correct Class 1),True Positive (Correct Class 1),Perfect Mimic
Knife_513,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_87,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_97,1,True Positive (Correct Class 1),True Positive (Correct Class 1),Perfect Mimic
Knife_301,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_695,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_110,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_759,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_64,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_686,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_327,1,True Positive (Correct Class 1),True Positive (Correct Class 1),Perfect Mimic
Knife_629,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_79,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_577,1,True Positive (Correct Class 1),True Positive (Correct Class 1),Perfect Mimic
Knife_334,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_482,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_138,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_228,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_847,1,True Positive (Correct Class 1),True Positive (Correct Class 1),Perfect Mimic
Knife_631,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_690,0,True Negative (Correct Class 0),True Negative (Correct Class 0),Perfect Mimic
Knife_596,1,True Positive (Correct Class 1),True Positive (Correct Class 1),Perfect Mimic
Knife_77,1,True Positive (Correct Class 1),True Positive (Correct Class 1),Perfect Mimic
Knife_665,1,True Positive (Correct Class 1),True Positive (Correct Class 1),Perfect Mimic
