Knife_ID,Actual_Class,CART_Matrix_Status,C45_Matrix_Status,Imitation_Status
Knife_67,1,"False Negative (Type II Error - Predicted 0, Actual 1)","False Negative (Type II Error - Predicted 0, Actual 1)",Failed Mimic
Knife_619,0,"False Positive (Type I Error - Predicted 1, Actual 0)","False Positive (Type I Error - Predicted 1, Actual 0)",Failed Mimic
Knife_751,1,"False Negative (Type II Error - Predicted 0, Actual 1)","False Negative (Type II Error - Predicted 0, Actual 1)",Failed Mimic
Knife_635,1,"False Negative (Type II Error - Predicted 0, Actual 1)","False Negative (Type II Error - Predicted 0, Actual 1)",Failed Mimic
Knife_441,1,"False Negative (Type II Error - Predicted 0, Actual 1)","False Negative (Type II Error - Predicted 0, Actual 1)",Failed Mimic
Knife_519,0,"False Positive (Type I Error - Predicted 1, Actual 0)","False Positive (Type I Error - Predicted 1, Actual 0)",Failed Mimic
Knife_708,1,"False Negative (Type II Error - Predicted 0, Actual 1)","False Negative (Type II Error - Predicted 0, Actual 1)",Failed Mimic
Knife_213,0,"False Positive (Type I Error - Predicted 1, Actual 0)","False Positive (Type I Error - Predicted 1, Actual 0)",Failed Mimic
Knife_40,1,"False Negative (Type II Error - Predicted 0, Actual 1)","False Negative (Type II Error - Predicted 0, Actual 1)",Failed Mimic
Knife_706,1,"False Negative (Type II Error - Predicted 0, Actual 1)","False Negative (Type II Error - Predicted 0, Actual 1)",Failed Mimic
Knife_31,1,"False Negative (Type II Error - Predicted 0, Actual 1)","False Negative (Type II Error - Predicted 0, Actual 1)",Failed Mimic
Knife_197,1,"False Negative (Type II Error - Predicted 0, Actual 1)","False Negative (Type II Error - Predicted 0, Actual 1)",Failed Mimic
Knife_328,1,"False Negative (Type II Error - Predicted 0, Actual 1)","False Negative (Type II Error - Predicted 0, Actual 1)",Failed Mimic
Knife_597,0,"False Positive (Type I Error - Predicted 1, Actual 0)","False Positive (Type I Error - Predicted 1, Actual 0)",Failed Mimic
Knife_169,0,"False Positive (Type I Error - Predicted 1, Actual 0)","False Positive (Type I Error - Predicted 1, Actual 0)",Failed Mimic
Knife_520,1,"False Negative (Type II Error - Predicted 0, Actual 1)","False Negative (Type II Error - Predicted 0, Actual 1)",Failed Mimic
Knife_695,0,"False Positive (Type I Error - Predicted 1, Actual 0)","False Positive (Type I Error - Predicted 1, Actual 0)",Failed Mimic
Knife_291,1,"False Negative (Type II Error - Predicted 0, Actual 1)","False Negative (Type II Error - Predicted 0, Actual 1)",Failed Mimic
